generation,N_shifts,logPrior,logLik,eventRate,acceptRate
4790000,14,29.7473,-5747.43,19.9291,0.2284
4800000,15,38.1358,-5744.85,12.7778,0.2164
4810000,15,41.335,-5736.67,15.1162,0.2398
4820000,17,54.8222,-5739.62,11.2226,0.26
4830000,18,52.0573,-5734.19,15.0285,0.2582
4840000,13,29.8069,-5738.16,14.4903,0.2518
4850000,15,46.2485,-5737.02,9.0042,0.240186
4860000,17,59.5029,-5745.78,12.1595,0.2641
4870000,19,76.3164,-5740.13,18.558,0.2627
4880000,14,43.9201,-5749,19.6349,0.2576
4890000,16,56.1983,-5739.51,14.5283,0.2762
4900000,15,46.7208,-5740.19,12.5046,0.2721
4910000,16,49.1757,-5731.76,8.62868,0.2621
4920000,14,42.5369,-5741.12,10.8171,0.2448
4930000,14,34.8712,-5736.93,20.6872,0.2561
4940000,13,29.8626,-5740.47,17.4162,0.2538
4950000,13,32.5282,-5735.76,11.0276,0.243264
4960000,13,30.2802,-5741.1,14.3567,0.2477
4970000,14,39.3657,-5742.4,14.6327,0.2337
4980000,14,47.7214,-5735.41,11.2095,0.2682
4990000,16,48.6594,-5739.03,12.0087,0.2486
5000000,15,52.18,-5742.67,18.1585,0.2758
5010000,15,37.7173,-5731.21,12.7679,0.2757
5020000,19,70.7556,-5728.13,17.7595,0.2557
5030000,19,73.4098,-5724.08,21.5056,0.2824
5040000,20,82.6654,-5739.01,10.1209,0.2716
5050000,17,62.6405,-5735.75,15.6693,0.2598
5060000,18,69.7513,-5741.87,17.3075,0.2542
5070000,20,72.8292,-5737.25,17.308,0.2591
5080000,21,91.7963,-5738.87,13.8371,0.2823
5090000,16,54.8781,-5739.06,14.1098,0.2555
5100000,16,56.426,-5749.7,19.9652,0.2607
5110000,12,30.7245,-5753.46,17.5025,0.2086
5120000,16,41.4057,-5740.45,16.7739,0.236828
5130000,14,31.7063,-5733.33,12.5256,0.2423
5140000,17,48.7441,-5724.11,16.5883,0.2675
5150000,14,39.8975,-5743.59,10.2827,0.250075
5160000,18,60.2256,-5732.5,21.8642,0.2616
5170000,17,62.4186,-5723.49,23.5834,0.2518
5180000,16,54.0562,-5737.69,17.3384,0.26
5190000,14,42.2225,-5732.51,12.4931,0.2397
5200000,15,40.87,-5735.88,16.6111,0.2568
5210000,18,61.8683,-5733.16,22.8845,0.2524
5220000,18,69.464,-5734.94,15.6045,0.2675
5230000,21,82.274,-5729.32,24.9418,0.2664
